latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
38.75485,26.93703,301.09,0.4,0.6,2025-11-24,0100,N,VIIRS,n,2.0NRT,283.11,1.74,N
38.75464,26.94001,295.68,0.4,0.6,2025-11-24,0100,N,VIIRS,n,2.0NRT,282.87,0.75,N
38.74939,26.93743,299.7,0.4,0.6,2025-11-24,0100,N,VIIRS,n,2.0NRT,283.05,0.75,N
38.74561,26.95123,297.26,0.4,0.6,2025-11-24,0100,N,VIIRS,n,2.0NRT,283.77,1.29,N
38.74035,26.94865,296.89,0.4,0.6,2025-11-24,0100,N,VIIRS,n,2.0NRT,285.97,0.91,N
38.73511,26.946,300.05,0.4,0.6,2025-11-24,0100,N,VIIRS,n,2.0NRT,286,0.91,N
39.11303,27.52346,298.42,0.42,0.61,2025-11-24,0100,N,VIIRS,n,2.0NRT,282.01,0.88,N
39.0917,27.51265,298.19,0.42,0.61,2025-11-24,0100,N,VIIRS,n,2.0NRT,282.31,1,N
37.32194,44.53194,340.5,0.62,0.72,2025-11-24,0900,N,VIIRS,n,2.0NRT,291.81,10.19,D
37.32536,44.52916,333.06,0.62,0.72,2025-11-24,0900,N,VIIRS,n,2.0NRT,287.92,6.45,D
37.17524,40.42253,342.35,0.51,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,302.85,21.89,D
36.92998,38.4301,331.99,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.82,14.43,D
36.93122,38.43971,333.63,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.1,3.87,D
37.11838,39.96063,351.89,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,303.67,20.2,D
36.92588,38.426,331.69,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,301.63,14.43,D
37.10353,39.96332,343.63,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,310.45,40.25,D
37.09981,39.964,354.26,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,305.79,40.25,D
36.96089,38.90016,344.01,0.44,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.58,4.48,D
36.97844,39.07148,335.09,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,295.83,3.15,D
36.97177,39.04692,331.31,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,293.05,2.67,D
37.14251,40.65446,344.36,0.52,0.42,2025-11-24,1040,N,VIIRS,n,2.0NRT,304,18.14,D
37.13866,40.6551,337.2,0.52,0.42,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.92,18.14,D
37.13419,40.64983,336.48,0.52,0.42,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.94,5.77,D
36.86082,38.53271,340.25,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.94,3.52,D
37.14211,40.98582,338.74,0.54,0.42,2025-11-24,1040,N,VIIRS,n,2.0NRT,301.3,5.94,D
36.86079,38.53549,336.26,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.47,3.53,D
37.14249,40.98714,339.94,0.54,0.42,2025-11-24,1040,N,VIIRS,n,2.0NRT,300.48,6.97,D
36.91969,39.14209,333.01,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.1,3.55,D
37.09429,40.62225,337.9,0.52,0.42,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.1,5.41,D
37.26269,40.08543,328.39,0.49,0.41,2025-11-24,1040,N,VIIRS,l,2.0NRT,300.12,2.31,D
37.12706,39.17016,329.87,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,293.81,4.49,D
37.01168,38.34175,328.31,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.37,1.3,D
37.00643,38.41171,329.94,0.43,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.66,3.16,D
37.16021,39.66176,343.33,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.13,6.56,D
37.07785,39.00808,335.19,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,286.01,3.58,D
37.17077,39.91489,332.19,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,294.04,10.96,D
36.32336,33.98796,331.45,0.4,0.37,2025-11-24,1040,N,VIIRS,n,2.0NRT,295.44,3.29,D
37.29733,39.59544,345.25,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.04,4.83,D
37.04811,39.00352,346.64,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,291.23,7.33,D
37.05807,39.11565,336.14,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,294.55,4.38,D
37.0405,39.03087,332.48,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,292.6,3.94,D
37.04111,39.03592,327.84,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,292.08,3.94,D
37.03765,39.06767,333.38,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,291.96,5.52,D
37.0271,38.96418,349.43,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,285.41,10.2,D
37.0957,39.61061,340.39,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,300.52,4.94,D
37.11646,39.81571,343.86,0.48,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.44,15.9,D
37.12209,39.95995,352.52,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,294.17,11.64,D
36.93769,40.25235,342.35,0.5,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,301.27,20.46,D
36.80434,39.16606,340.77,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,295.04,9.58,D
36.80497,39.1711,339.63,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,305.22,23.82,D
36.79967,39.18755,330.92,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.02,5.47,D
36.7807,39.09322,336.31,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,295.44,4.14,D
36.87495,40.13794,329.55,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.39,2.47,D
36.78405,39.48449,331.21,0.46,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,295.64,2.39,D
36.77805,39.49628,341.27,0.46,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,301.54,14.62,D
38.4984,35.69006,328.97,0.39,0.36,2025-11-24,1040,N,VIIRS,n,2.0NRT,278.14,2.26,D
37.76943,39.36914,341.25,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,294.38,10.26,D
38.00261,41.76419,325.79,0.4,0.44,2025-11-24,1040,N,VIIRS,n,2.0NRT,295.48,2.09,D
37.80758,40.26447,330.09,0.51,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,293.86,2.06,D
37.6899,39.38171,335.95,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,284.24,5.02,D
37.69053,39.38702,346.76,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,286.99,9.84,D
37.66638,39.27835,346.34,0.46,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.73,8.49,D
37.61102,39.49673,341.04,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,300.19,5.06,D
37.43561,39.26799,332.3,0.46,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,287.46,4.38,D
37.29953,39.03291,326.98,0.45,0.39,2025-11-24,1040,N,VIIRS,l,2.0NRT,298.64,2.97,D
37.33494,39.64149,326.81,0.48,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.16,3.21,D
37.30574,39.57195,336.05,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.07,5.04,D
37.08456,40.57018,332.43,0.52,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.62,6.21,D
37.30885,39.6922,347.65,0.48,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.01,11.54,D
37.27969,39.60429,330.08,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,297.18,2.41,D
37.27489,39.62705,355.88,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.27,7.47,D
37.27552,39.63242,326.73,0.47,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,293.58,7.47,D
37.27477,40.05249,335,0.49,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.16,4.6,D
37.26295,40.08329,332.2,0.49,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.57,1.94,D
37.23121,39.83429,331.56,0.48,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,289.56,3.34,D
37.01865,40.05954,334.5,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,300.75,3.21,D
36.86729,38.83958,331.51,0.44,0.38,2025-11-24,1040,N,VIIRS,n,2.0NRT,293.75,1.86,D
36.90289,39.1246,343.81,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.82,5.64,D
37.02841,40.17718,329.89,0.5,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,299.54,2.68,D
36.90243,39.15051,338.35,0.45,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.32,4.77,D
37.01258,40.10585,331.8,0.49,0.4,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.65,2.63,D
37.03249,40.28002,347.74,0.5,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,313.72,39.98,D
36.87037,38.95088,348.14,0.44,0.39,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.61,7.96,D
37.02808,40.27503,334.52,0.5,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,298.13,35.95,D
37.02872,40.2807,334.61,0.5,0.41,2025-11-24,1040,N,VIIRS,n,2.0NRT,296.65,39.98,D
